State/Country,Year, Employed ('000) 
Sarawak,1997,831.5
Selangor,1997,"1,329.9"
Terengganu,1997,282.3
W.P Labuan,1997,34.7
W.P. Kuala Lumpur,1997,691.0
W.P.Putrajaya,1997,
Johor,1996,996.7
Kedah,1996,535.9
Kelantan,1996,445.5
Malaysia,1996,"8,399.3"
Melaka,1996,237.0
Negeri Sembilan,1996,319.3
Pahang,1996,406.2
Perak,1996,723.0
Perlis,1996,70.1
Pulau Pinang,1996,449.4
Sabah,1996,992.5
Sarawak,1996,831.5
Selangor,1996,"1,359.0"
Terengganu,1996,298.0
W.P Labuan,1996,37.4
W.P. Kuala Lumpur,1996,697.8
W.P.Putrajaya,1996,
Johor,1995,891.8
Kedah,1995,521.1
Kelantan,1995,412.7
Malaysia,1995,"7,645.0"
Melaka,1995,222.8
Negeri Sembilan,1995,296.2
Pahang,1995,371.4
Perak,1995,634.3
Perlis,1995,70.8
Pulau Pinang,1995,485.8
Sabah,1995,722.7
Sarawak,1995,789.2
Selangor,1995,"1,338.9"
Terengganu,1995,268.0
W.P Labuan,1995,31.1
W.P. Kuala Lumpur,1995,588.4
W.P.Putrajaya,1995,
Johor,1993,974.3
Kedah,1993,475.1
Kelantan,1993,394.4
Malaysia,1993,"7,383.4"
Melaka,1993,218.5
Negeri Sembilan,1993,284.4
Pahang,1993,378.7
Perak,1993,669.8
Perlis,1993,70.7
Pulau Pinang,1993,531.0
Sabah,1993,674.0
Sarawak,1993,753.8
Selangor,1993,"1,080.1"
Terengganu,1993,280.9
W.P Labuan,1993,17.3
W.P. Kuala Lumpur,1993,580.5
W.P.Putrajaya,1993,
Johor,1992,926.0
Kedah,1992,495.0
Kelantan,1992,382.5
Malaysia,1992,"7,047.8"
Melaka,1992,207.4
Negeri Sembilan,1992,251.4
Pahang,1992,417.0
Perak,1992,692.9
Perlis,1992,66.9
Pulau Pinang,1992,512.6
Sabah,1992,491.5
Sarawak,1992,711.3
Selangor,1992,"1,069.6"
Terengganu,1992,252.9
W.P Labuan,1992,14.9
W.P. Kuala Lumpur,1992,555.8
W.P.Putrajaya,1992,
Johor,1990,914.1
Kedah,1990,467.6
Kelantan,1990,377.7
Malaysia,1990,"6,685.0"
Melaka,1990,180.0
Negeri Sembilan,1990,216.0
Pahang,1990,428.8
Perak,1990,678.2
Perlis,1990,57.1
Pulau Pinang,1990,457.2
Sabah,1990,436.9
Sarawak,1990,698.9
Selangor,1990,"1,039.4"
Terengganu,1990,227.6
W.P Labuan,1990,14.8
W.P. Kuala Lumpur,1990,490.7
W.P.Putrajaya,1990,
Johor,1989,822.3
Kedah,1989,443.3
Kelantan,1989,363.8
Malaysia,1989,"6,390.9"
Melaka,1989,185.9
Negeri Sembilan,1989,229.3
Pahang,1989,379.1
Perak,1989,686.7
Perlis,1989,66.3
Pulau Pinang,1989,436.3
Sabah,1989,442.3
Sarawak,1989,687.2
Selangor,1989,900.3
Terengganu,1989,229.9
W.P Labuan,1989,13.4
W.P. Kuala Lumpur,1989,504.7
W.P.Putrajaya,1989,
Johor,1988,792.0
Kedah,1988,459.3
Kelantan,1988,363.4
Malaysia,1988,"6,157.2"
Melaka,1988,175.4
Negeri Sembilan,1988,228.0
Pahang,1988,351.5
Perak,1988,656.7
Perlis,1988,65.5
Pulau Pinang,1988,398.9
Sabah,1988,424.6
Sarawak,1988,637.1
Selangor,1988,893.1
Terengganu,1988,229.8
W.P Labuan,1988,12.3
W.P. Kuala Lumpur,1988,469.6
W.P.Putrajaya,1988,
Johor,1987,732.7
Kedah,1987,420.1
Kelantan,1987,350.5
Malaysia,1987,"5,983.9"
Melaka,1987,176.7
Negeri Sembilan,1987,221.7
Pahang,1987,335.9
Perak,1987,670.5
Perlis,1987,60.6
Pulau Pinang,1987,404.8
Sabah,1987,424.3
Sarawak,1987,642.0
Selangor,1987,865.0
Terengganu,1987,208.9
W.P Labuan,1987,12.3
W.P. Kuala Lumpur,1987,457.9
W.P.Putrajaya,1987,
Johor,1986,700.4
Kedah,1986,418.0
Kelantan,1986,340.2
Malaysia,1986,"5,760.1"
Melaka,1986,169.8
Negeri Sembilan,1986,213.5
Pahang,1986,315.4
Perak,1986,669.9
Perlis,1986,57.6
Pulau Pinang,1986,391.4
Sabah,1986,405.5
Sarawak,1986,614.3
Selangor,1986,777.1
Terengganu,1986,218.4
W.P Labuan,1986,13.6
W.P. Kuala Lumpur,1986,455.0
W.P.Putrajaya,1986,
Johor,1985,672.7
Kedah,1985,413.8
Kelantan,1985,323.6
Malaysia,1985,"5,653.4"
Melaka,1985,170.1
Negeri Sembilan,1985,210.8
Pahang,1985,327.8
Perak,1985,669.6
Perlis,1985,60.5
Pulau Pinang,1985,388.1
Sabah,1985,403.4
Sarawak,1985,587.5
Selangor,1985,706.1
Terengganu,1985,212.4
W.P Labuan,1985,15.0
W.P. Kuala Lumpur,1985,491.7
W.P.Putrajaya,1985,
Johor,1984,657.3
Kedah,1984,417.6
Kelantan,1984,322.3
Malaysia,1984,"5,566.7"
Melaka,1984,162.5
Negeri Sembilan,1984,223.3
Pahang,1984,306.9
Perak,1984,659.6
Perlis,1984,61.8
Pulau Pinang,1984,383.7
Sabah,1984,400.3
Sarawak,1984,575.3
Selangor,1984,690.3
Terengganu,1984,204.4
W.P Labuan,1984,16.0
W.P. Kuala Lumpur,1984,485.4
W.P.Putrajaya,1984,
Johor,1983,623.7
Kedah,1983,373.6
Kelantan,1983,282.5
Malaysia,1983,"5,457.0"
Melaka,1983,165.5
Negeri Sembilan,1983,215.0
Pahang,1983,333.5
Perak,1983,669.2
Perlis,1983,63.8
Pulau Pinang,1983,404.8
Sabah,1983,377.7
Sarawak,1983,540.1
Selangor,1983,739.9
Terengganu,1983,236.9
W.P Labuan,1983,
W.P. Kuala Lumpur,1983,430.7
W.P.Putrajaya,1983,
Johor,1982,630.2
Kedah,1982,389.0
Kelantan,1982,304.3
Malaysia,1982,"5,249.0"
Melaka,1982,167.2
Negeri Sembilan,1982,216.3
Pahang,1982,270.2
Perak,1982,604.0
Perlis,1982,55.7
Pulau Pinang,1982,382.3
Sabah,1982,343.6
Sarawak,1982,524.7
Selangor,1982,676.9
Terengganu,1982,221.1
W.P Labuan,1982,
W.P. Kuala Lumpur,1982,463.6
W.P.Putrajaya,1982,
