State/Country,Year, Labour Force ('000) 
Sarawak,1985,632.7
Selangor,1985,740.6
Terengganu,1985,228.9
W.P Labuan,1985,16.3
W.P. Kuala Lumpur,1985,509.7
W.P.Putrajaya,1985,
Johor,1984,688.2
Kedah,1984,442.6
Kelantan,1984,341.0
Malaysia,1984,"5,862.5"
Melaka,1984,171.8
Negeri Sembilan,1984,234.9
Pahang,1984,321.7
Perak,1984,697.2
Perlis,1984,64.8
Pulau Pinang,1984,397.9
Sabah,1984,425.9
Sarawak,1984,616.7
Selangor,1984,718.8
Terengganu,1984,219.3
W.P Labuan,1984,17.3
W.P. Kuala Lumpur,1984,504.5
W.P.Putrajaya,1984,
Johor,1983,650.9
Kedah,1983,388.2
Kelantan,1983,301.3
Malaysia,1983,"5,671.8"
Melaka,1983,170.3
Negeri Sembilan,1983,223.5
Pahang,1983,342.6
Perak,1983,704.9
Perlis,1983,66.0
Pulau Pinang,1983,421.0
Sabah,1983,393.8
Sarawak,1983,569.5
Selangor,1983,757.2
Terengganu,1983,243.1
W.P Labuan,1983,
W.P. Kuala Lumpur,1983,439.6
W.P.Putrajaya,1983,
Johor,1982,653.1
Kedah,1982,403.9
Kelantan,1982,319.4
Malaysia,1982,"5,431.4"
Melaka,1982,174.1
Negeri Sembilan,1982,222.8
Pahang,1982,279.6
Perak,1982,638.6
Perlis,1982,58.1
Pulau Pinang,1982,396.0
Sabah,1982,354.3
Sarawak,1982,539.7
Selangor,1982,691.9
Terengganu,1982,227.2
W.P Labuan,1982,
W.P. Kuala Lumpur,1982,472.6
W.P.Putrajaya,1982,
